id,label
1,1
2,1
3,1
4,1
5,0
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,0
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,0
31,0
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,0
61,0
62,1
63,0
64,1
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,0
80,1
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,1
111,0
112,0
113,1
114,0
115,1
116,0
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,1
131,0
132,0
133,1
134,1
135,0
136,1
137,1
138,1
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,1
150,0
151,1
152,1
153,1
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,1
169,1
170,0
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,1
197,1
198,0
199,1
200,1
201,0
202,0
203,1
204,0
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,0
229,0
230,1
231,0
232,1
233,1
234,0
235,1
236,0
237,0
238,0
239,0
240,1
241,0
242,0
243,0
244,0
245,0
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,1
260,0
261,0
262,0
263,0
264,1
265,1
266,0
267,1
268,0
269,1
270,0
271,0
272,0
273,0
274,0
275,1
276,0
277,1
278,1
279,0
280,1
281,0
282,1
283,1
284,1
285,0
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,1
305,1
306,0
307,0
308,1
309,0
310,1
311,0
312,0
313,0
314,0
315,1
316,0
317,0
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,0
326,0
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,0
336,1
337,0
338,0
339,0
340,0
341,0
342,0
343,1
344,1
345,1
346,1
347,1
348,0
349,0
350,1
351,1
352,0
353,1
354,1
355,0
356,1
357,1
358,0
359,0
360,1
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,1
370,0
371,1
372,1
373,0
374,0
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,0
387,0
388,0
389,1
390,0
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,1
416,1
417,0
418,1
419,0
420,1
421,1
422,0
423,0
424,0
425,0
426,0
427,0
428,1
429,1
430,1
431,1
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,1
449,1
450,0
451,0
452,1
453,1
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,1
468,0
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,0
477,1
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,0
488,1
489,1
490,0
491,1
492,0
493,1
494,1
495,1
496,0
497,1
498,1
499,0
500,1
501,1
502,0
503,1
504,0
505,1
506,0
507,0
508,1
509,0
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,0
525,0
526,0
527,0
528,0
529,1
530,1
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,0
542,1
543,1
544,1
545,1
546,1
547,1
548,0
549,0
550,0
551,1
552,0
553,0
554,1
555,1
556,0
557,1
558,0
559,0
560,1
561,1
562,1
563,1
564,1
565,0
566,1
567,1
568,0
569,0
570,1
571,0
572,0
573,1
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,1
582,1
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,1
596,1
597,0
598,0
599,0
600,1
601,0
602,0
